Family: [内田] [うちだ], Given: [有紀] [ゆき], Born: 1975
Family: [後藤] [ごとう], Given: [久美子] [くみこ], Born: 1974
Family: [一條] [いちじょう], Given: [裕子] [ゆうこ], Born: 1967
Family: [大瀧] [おおたき], Given: [詠一] [えいいち], Born: 1948
Family: [藤原] [ふじわら], Given: [芳秀] [よしひで], Born: 1966
Family: [羅川] [らがわ], Given: [真里茂] [まりも], Born: 0
Family: [円谷] [つぶらや], Given: [英二] [えいじ], Born: 1901
Family: [目黒] [めぐろ], Given: [考二] [こうじ], Born: 1946
Family: [深作] [ふかさく], Given: [欣二] [きんじ], Born: 1930
Family: [伊藤] [いとう], Given: [君子] [きみこ], Born: 1946
Family: [鈴木] [すずき], Given: [慶一] [けいいち], Born: 1951
Family: [小澤] [おざわ], Given: [征悦] [ゆきよし], Born: 1974
Family: [河井] [かわい], Given: [継之助] [つぎのすけ], Born: 1827
Family: [山内] [やまのうち], Given: [雅人] [まさと], Born: 1929
Family: [水沢] [みずさわ], Given: [めぐみ] [めぐみ], Born: 1963
Family: [川村] [かわむら], Given: [美香] [みか], Born: 1973
Family: [有沢] [ありさわ], Given: [遼] [りょう], Born: 0
Family: [安藤] [あんどう], Given: [なつみ] [なつみ], Born: 0
Family: [征海] [いくみ], Given: [未亜] [みあ], Born: 0
Family: [福岡] [ふくおか], Given: [正信] [まさのぶ], Born: 1913
Family: [岡野] [おかの], Given: [玲子] [れいこ], Born: 1960
Family: [小林] [こばやし], Given: [光恵] [みつえ], Born: 1960
Family: [山本] [やまもと], Given: [文緒] [ふみお], Born: 1962
Family: [西田] [にしだ], Given: [幾多郎] [きたろう], Born: 1870
Family: [野比] [のび], Given: [のび太] [のびた], Born: 0
Family: [源] [みなもと], Given: [頼家] [よりいえ], Born: 0
Family: [橋本] [はしもと], Given: [治] [おさむ], Born: 1948
Family: [朴] [ぱく], Given: [璐美] [ろみ], Born: 1972
Family: [団藤] [だんどう], Given: [重光] [しげみつ], Born: 1913
Family: [藤井] [ふじい], Given: [みほな] [みほな], Born: 1974
Family: [秋谷] [あきや], Given: [栄之助] [えいのすけ], Born: 1930
Family: [淵上] [ふちかみ], Given: [白陽] [はくよう], Born: 1889
Family: [島岡] [しまおか], Given: [吉郎] [きちろう], Born: 1911
Family: [織田] [おだ], Given: [信孝] [のぶたか], Born: 0
Family: [広瀬] [ひろせ], Given: [正] [ただし], Born: 1924
Family: [桂] [かつら], Given: [枝雀] [しじゃく], Born: 1939
Family: [萩原] [はぎわら], Given: [朔太郎] [さくたろう], Born: 1886
Family: [井川] [いがわ], Given: [慶] [けい], Born: 1979
Family: [沼波] [ぬなみ], Given: [弄山] [ろうざん], Born: 1718
Family: [古田] [ふるた], Given: [武彦] [たけひこ], Born: 1926
Family: [天草] [あまくさ], Given: [四郎] [しろう], Born: 1621
Family: [島尾] [しまお], Given: [敏雄] [としお], Born: 1917
Family: [足利] [あしかが], Given: [義詮] [よしあきら], Born: 0
Family: [吉田] [よしだ], Given: [一穂] [いっすい], Born: 1898
Family: [岡部] [おかべ], Given: [玲子] [れいこ], Born: 1979
Family: [沖田] [おきた], Given: [総司] [そうじ], Born: 1844
Family: [芹沢] [せりざわ], Given: [鴨] [かも], Born: 1863
Family: [三好] [みよし], Given: [絵梨香] [えりか], Born: 1984
Family: [戴] [たい], Given: [季陶] [きとう], Born: 0
Family: [黄] [こう], Given: [文雄] [ぶんゆう], Born: 1938
Family: [俵] [たわら], Given: [孝太郎] [こうたろう], Born: 1930
Family: [山川] ["やまかわ], Given: [千秋] [ちあき"、1933年9月16日], Born: 1988
Family: [古田] [ふるた], Given: [敦也] [あつや], Born: 1965
Family: [冨田] [とみた], Given: [勲] [いさお], Born: 1932
Family: [八木] [やぎ], Given: [ちあき] [ちあき], Born: 0
Family: [美濃部] [みのべ], Given: [達吉] [たつきち], Born: 1873
Family: [西部] [にしべ], Given: [邁] [すすむ], Born: 1939
Family: [橋本] [はしもと], Given: [左内] [さない], Born: 1834
Family: [桝田] [ますだ], Given: [省治] [しょうじ], Born: 1960
Family: [根谷] [ねや], Given: [美智子] [みちこ], Born: 1965
Family: [北畠] [きたばたけ], Given: [親房] [ちかふさ], Born: 0
Family: [伊藤] [いとう], Given: [真聰] [しんそう], Born: 1942
Family: [笙野] [しょうの], Given: [頼子] [よりこ], Born: 1956
Family: [島田] [しまだ], Given: [紳助] [しんすけ], Born: 1956
Family: [堀尾] [ほりお], Given: [吉晴] [よしはる], Born: 0
Family: [中村] [なかむら], Given: [一氏] [かずうじ], Born: 0
Family: [泉] [いずみ], Given: [麻人] [あさと], Born: 1956
Family: [平光] [ひらみつ], Given: [淳之助] [じゅんのすけ], Born: 1923
Family: [原] [はら], Given: [由子] [ゆうこ], Born: 1956
